id,from_addr,to_addr,bg_id,county,state_or_territory,fullname,county_id,msa_id,tract_id,state_id,bg_pop,bg_smoke_risk,bg_pop_risk,bg_fire_risk,bg_overall_risk
536228,1101,1199,1.81E+11,Monroe,Indiana,W Twin Oaks Rdg,18105,14020,18105000402,18,243,0.2604294,0.085626,0.1422693,0.2911455
536227,1100,1198,1.81E+11,Monroe,Indiana,W Twin Oaks Rdg,18105,14020,18105000402,18,243,0.2604294,0.085626,0.1422693,0.2911455
536226,2301,2399,1.81E+11,Monroe,Indiana,Cutter Ct,18105,14020,18105000402,18,243,0.2604294,0.085626,0.1422693,0.2911455
536225,2300,2398,1.81E+11,Monroe,Indiana,Cutter Ct,18105,14020,18105000402,18,243,0.2604294,0.085626,0.1422693,0.2911455
536224,1001,2799,1.81E+11,Monroe,Indiana,Pinehurst Dr,18105,14020,18105000402,18,243,0.2604294,0.085626,0.1422693,0.2911455
536223,1000,2798,1.81E+11,Monroe,Indiana,Pinehurst Dr,18105,14020,18105000402,18,243,0.2604294,0.085626,0.1422693,0.2911455
536222,1201,2099,1.81E+11,Monroe,Indiana,S Cory Ln,18105,14020,18105000402,18,243,0.2604294,0.085626,0.1422693,0.2911455
536221,1200,1498,1.81E+11,Monroe,Indiana,S Cory Ln,18105,14020,18105000402,18,243,0.2604294,0.085626,0.1422693,0.2911455
536220,801,999,1.81E+11,Monroe,Indiana,S Peach Tree St,18105,14020,18105000402,18,243,0.2604294,0.085626,0.1422693,0.2911455
536219,1201,1299,1.81E+11,Monroe,Indiana,S Patterson Dr,18105,14020,18105000402,18,243,0.2604294,0.085626,0.1422693,0.2911455
536218,1200,1298,1.81E+11,Monroe,Indiana,S Patterson Dr,18105,14020,18105000402,18,243,0.2604294,0.085626,0.1422693,0.2911455
536217,1201,1499,1.81E+11,Monroe,Indiana,S Lakecrest Dr,18105,14020,18105000402,18,243,0.2604294,0.085626,0.1422693,0.2911455
536216,1300,1398,1.81E+11,Monroe,Indiana,S Lakecrest Dr,18105,14020,18105000402,18,243,0.2604294,0.085626,0.1422693,0.2911455
536215,901,2099,1.81E+11,Monroe,Indiana,W Allen St,18105,14020,18105000402,18,243,0.2604294,0.085626,0.1422693,0.2911455
536214,2501,2699,1.81E+11,Monroe,Indiana,S Addisyn Ln,18105,14020,18105000402,18,243,0.2604294,0.085626,0.1422693,0.2911455
536213,2500,2698,1.81E+11,Monroe,Indiana,S Addisyn Ln,18105,14020,18105000402,18,243,0.2604294,0.085626,0.1422693,0.2911455
536212,901,999,1.81E+11,Monroe,Indiana,W Cardinal Ct,18105,14020,18105000402,18,243,0.2604294,0.085626,0.1422693,0.2911455
536211,900,998,1.81E+11,Monroe,Indiana,W Cardinal Ct,18105,14020,18105000402,18,243,0.2604294,0.085626,0.1422693,0.2911455
536210,601,899,1.81E+11,Monroe,Indiana,W Cherokee Dr,18105,14020,18105000402,18,243,0.2604294,0.085626,0.1422693,0.2911455
536209,600,898,1.81E+11,Monroe,Indiana,W Cherokee Dr,18105,14020,18105000402,18,243,0.2604294,0.085626,0.1422693,0.2911455
536208,501,699,1.81E+11,Monroe,Indiana,W Duncan Dr,18105,14020,18105000402,18,243,0.2604294,0.085626,0.1422693,0.2911455
536207,500,698,1.81E+11,Monroe,Indiana,W Duncan Dr,18105,14020,18105000402,18,243,0.2604294,0.085626,0.1422693,0.2911455
536206,2301,2399,1.81E+11,Monroe,Indiana,Peoples Ct,18105,14020,18105000402,18,243,0.2604294,0.085626,0.1422693,0.2911455
536205,2300,2398,1.81E+11,Monroe,Indiana,Peoples Ct,18105,14020,18105000402,18,243,0.2604294,0.085626,0.1422693,0.2911455
536204,501,899,1.81E+11,Monroe,Indiana,W Chambers Dr,18105,14020,18105000402,18,243,0.2604294,0.085626,0.1422693,0.2911455
536203,500,898,1.81E+11,Monroe,Indiana,W Chambers Dr,18105,14020,18105000402,18,243,0.2604294,0.085626,0.1422693,0.2911455
536202,2701,2799,1.81E+11,Monroe,Indiana,S Jalen Ct,18105,14020,18105000402,18,243,0.2604294,0.085626,0.1422693,0.2911455
536201,2700,2798,1.81E+11,Monroe,Indiana,S Jalen Ct,18105,14020,18105000402,18,243,0.2604294,0.085626,0.1422693,0.2911455
536200,801,1399,1.81E+11,Monroe,Indiana,W Thomson Park Dr,18105,14020,18105000402,18,243,0.2604294,0.085626,0.1422693,0.2911455
536199,800,1398,1.81E+11,Monroe,Indiana,W Thomson Park Dr,18105,14020,18105000402,18,243,0.2604294,0.085626,0.1422693,0.2911455
536198,2601,2699,1.81E+11,Monroe,Indiana,S Isabel Ct,18105,14020,18105000402,18,243,0.2604294,0.085626,0.1422693,0.2911455
536197,1400,2698,1.81E+11,Monroe,Indiana,S Isabel Ct,18105,14020,18105000402,18,243,0.2604294,0.085626,0.1422693,0.2911455
536196,1301,1399,1.81E+11,Monroe,Indiana,S Corly Ln,18105,14020,18105000402,18,243,0.2604294,0.085626,0.1422693,0.2911455
536195,1300,1398,1.81E+11,Monroe,Indiana,S Corly Ln,18105,14020,18105000402,18,243,0.2604294,0.085626,0.1422693,0.2911455
536194,2001,2099,1.81E+11,Monroe,Indiana,W Arbor Ridge Way,18105,14020,18105000402,18,243,0.2604294,0.085626,0.1422693,0.2911455
536193,1900,2098,1.81E+11,Monroe,Indiana,W Arbor Ridge Way,18105,14020,18105000402,18,243,0.2604294,0.085626,0.1422693,0.2911455
536192,2601,2699,1.81E+11,Monroe,Indiana,Southern Ridge Ct,18105,14020,18105000402,18,243,0.2604294,0.085626,0.1422693,0.2911455
536191,2600,2698,1.81E+11,Monroe,Indiana,Southern Ridge Ct,18105,14020,18105000402,18,243,0.2604294,0.085626,0.1422693,0.2911455
536190,1201,1299,1.81E+11,Monroe,Indiana,S Patterson Rd,18105,14020,18105000402,18,243,0.2604294,0.085626,0.1422693,0.2911455
536189,1200,1298,1.81E+11,Monroe,Indiana,S Patterson Rd,18105,14020,18105000402,18,243,0.2604294,0.085626,0.1422693,0.2911455
536188,800,998,1.81E+11,Monroe,Indiana,S Ransom Ln,18105,14020,18105000402,18,243,0.2604294,0.085626,0.1422693,0.2911455
536187,1101,2799,1.81E+11,Monroe,Indiana,S Weimer Rd,18105,14020,18105000402,18,243,0.2604294,0.085626,0.1422693,0.2911455
536186,2101,2199,1.81E+11,Monroe,Indiana,Harmony Pl,18105,14020,18105000402,18,243,0.2604294,0.085626,0.1422693,0.2911455
536185,2100,2198,1.81E+11,Monroe,Indiana,Harmony Pl,18105,14020,18105000402,18,243,0.2604294,0.085626,0.1422693,0.2911455
536184,1101,2799,1.81E+11,Monroe,Indiana,Pinemeadow Dr,18105,14020,18105000402,18,243,0.2604294,0.085626,0.1422693,0.2911455
536183,1100,2798,1.81E+11,Monroe,Indiana,Pinemeadow Dr,18105,14020,18105000402,18,243,0.2604294,0.085626,0.1422693,0.2911455
536182,2201,2299,1.81E+11,Monroe,Indiana,S Star Vw,18105,14020,18105000402,18,243,0.2604294,0.085626,0.1422693,0.2911455
536181,2200,2298,1.81E+11,Monroe,Indiana,S Star Vw,18105,14020,18105000402,18,243,0.2604294,0.085626,0.1422693,0.2911455
536180,2301,2399,1.81E+11,Monroe,Indiana,Boulder Ct,18105,14020,18105000402,18,243,0.2604294,0.085626,0.1422693,0.2911455
536179,2300,2398,1.81E+11,Monroe,Indiana,Boulder Ct,18105,14020,18105000402,18,243,0.2604294,0.085626,0.1422693,0.2911455
536178,2301,2399,1.81E+11,Monroe,Indiana,Zona Ct,18105,14020,18105000402,18,243,0.2604294,0.085626,0.1422693,0.2911455
536177,2300,2398,1.81E+11,Monroe,Indiana,Zona Ct,18105,14020,18105000402,18,243,0.2604294,0.085626,0.1422693,0.2911455
536176,2246,2698,1.81E+11,Monroe,Indiana,S Rockport Rd,18105,14020,18105000402,18,243,0.2604294,0.085626,0.1422693,0.2911455
536175,1701,1799,1.81E+11,Monroe,Indiana,W Sunstone Dr,18105,14020,18105000402,18,243,0.2604294,0.085626,0.1422693,0.2911455
536174,1600,1898,1.81E+11,Monroe,Indiana,W Sunstone Dr,18105,14020,18105000402,18,243,0.2604294,0.085626,0.1422693,0.2911455
